code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002657,中科金财,软件服务,北京,83.68,2.28,3.38,361634.25,224313.2,3964.75,177320.19,5.25,0.10300000000000001,8.31,4.15,20120228,64314.91,1.91,-2.99,40.57,37.67,16.49,70697
002350,北京科锐,电气设备,北京,51.12,2.18,2.28,234752.72,162072.67,42846.64,49361.85,2.17,0.35,5.3,3.24,20100203,36902.26,1.62,21.5,78.63,26.2,4.3,11389
300167,迪威视讯,通信设备,深圳,122.71,3.0,3.0,136564.47,89535.93,4006.0,29839.55,0.99,0.098,2.42,4.96,20110125,11588.32,0.39,32.56,193.46,36.88,6.59,15000
603299,井神股份,化工原料,江苏,58.49,2.79,5.59,456460.41,159294.56,245148.22,88246.36,1.58,0.051,3.56,3.36,20151231,48397.75,0.87,14.35,354.97,30.6,4.82,63591
000912,泸天化,农药化肥,四川,0.0,5.85,5.85,766463.19,113512.1,574560.81,97935.56,1.67,-1.089,0.2,42.8,19990603,-193110.84,-3.3,1.04,-3587.42,2.06,-20.83,87151
600665,天地源,全国地产,上海,18.98,8.64,8.64,1912305.75,1849784.63,10909.17,20109.34,0.23,0.267,3.31,1.53,19930709,148714.38,1.72,25.23,11.31,23.19,6.18,48733
600507,方大特钢,特种钢,江西,7.83,13.26,13.26,932952.19,515837.34,227393.63,4625.16,0.03,0.215,2.21,3.04,20030930,112489.47,0.85,62.43,360.84,21.97,10.34,56912
002353,杰瑞股份,化工机械,山东,173.84,6.73,9.58,1009451.5,738485.5,163222.63,370060.66,3.86,0.024,8.23,2.04,20100205,304339.59,3.18,6.93,-59.93,21.86,3.7,58520
600261,阳光照明,家用电器,浙江,21.45,14.52,14.52,564064.0,411456.59,109276.76,26319.1,0.18,0.311,2.18,3.07,20000720,115971.22,0.8,3.18,21.67,27.54,10.29,52002
600207,安彩高科,元器件,河南,753.38,6.9,8.63,239051.55,111046.55,78541.0,288135.69,3.34,0.011000000000000001,2.2,3.79,19990714,-224005.2,-2.6,5.82,-48.7,13.16,0.51,45894
601718,际华集团,服饰,北京,31.28,38.57,38.57,2588604.0,1321166.13,308328.78,431168.0,1.12,0.19899999999999998,3.53,2.36,20100816,540796.31,1.4,23.31,-27.05,7.49,4.14,198448
