code,name,mbrg,nprg,nav,targ,epsg,seg
300251,光线传媒,34.7168,7.2957,46.2956,92.3759,-49.2308,42.5129
300281,金明精机,30.9267,7.2721,9.9396,8.6305,8.6957,10.1987
600379,宝光股份,0.3311,7.272,3.6521,-3.8572,8.575,3.7566
603869,北部湾旅,4.2409,7.2316,8.2915,-4.5789,6.6667,8.2808
603866,桃李面包,17.0781,7.2073,14.8422,18.2259,6.3492,14.8422
300478,杭州高新,5.9839,7.1726,18.9164,19.5573,6.9767,18.9164
000980,众泰汽车,23.148000000000003,7.1348,1.7266,3.537,-33.3333,1.7287
600801,华新水泥,0.0738,7.1168,11.4342,0.8985,-34.9206,11.899000000000001
603987,康德莱,5.4557,7.1086,28.2484,9.8487,2.5,25.9967
603088,宁波精达,9.8894,7.086,55.1554,27.0424,1.7241,55.1554
000636,风华高科,0.7719,7.0597,62.8641,31.3842,7.6923,64.1561
603076,乐惠国际,1.7904,6.9991,44.4183,13.7005,6.3158,45.8839
002399,海普瑞,29.4543,6.9912,3.5325,20.0568,6.5809,3.5529
002467,二六三,-4.3405,6.9869,7.0121,5.3399,-45.614,7.0121
002291,星期六,-4.6756,6.9821,1.7992,-1.4617,11.1111,2.1166
601999,出版传媒,12.6816,6.9719,3.1267,7.2620000000000005,7.6923,3.111
600879,航天电子,19.3673,6.9322,4.843,14.3964,-4.8193,5.2697
300517,海波重科,-0.7597,6.9196,15.8291,1.7855,6.382999999999999,15.8291
300430,诚益通,11.0035,6.906000000000001,20.0651,15.9127,6.5421,20.0651
300359,全通教育,11.7955,6.871,72.8337,65.7928,-34.2857,72.8337
002237,恒邦股份,29.910999999999998,6.8248,5.8151,-6.9632,7.8431,6.2181
600522,中天科技,27.6165,6.8143,47.2433,31.316999999999997,1.7403,49.8963
601727,上海电气,-3.0681,6.8035,6.3606,11.0276,4.8421,6.3045
603309,维力医疗,13.5526,6.7914,22.4277,11.0427,5.8824,22.4632
603977,国泰集团,6.9670000000000005,6.7659,13.7536,18.7908,6.5574,13.5621
300553,集智股份,8.2076,6.7366,13.1044,11.3064,6.7416,13.1044
603520,司太立,-3.998,6.7298,11.9206,14.0339,5.6338,10.7008
600172,黄河旋风,6.7949,6.7048,8.9019,9.4673,6.6938,8.9019
