,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3429,600559,老白干酒,0.42,-10.64,,9.16,,5913.76,-9.8,10派1.5,02-05
3430,002622,融钰集团,0.32,23.08,,3.94,,4725.35,22.19,10派10,02-04
3431,300196,长海股份,0.77,-12.5,5.73,14.21,0.71,14688.01,39.85,,02-04
3432,002699,美盛文化,0.47,4.44,,14.56,,9712.54,132.75,,02-04
3433,600829,人民同泰,0.07,518.92,,1.89,,3985.1,516.69,,02-03
3434,002337,赛象科技,0.26,4.0,,3.98,,5065.28,4.92,10转20,02-03
3435,002728,特一药业,0.94,-12.15,,15.71,,8019.37,-0.45,,02-03
3436,603618,杭电股份,0.73,21.67,5.45,14.91,0.23,11702.31,21.12,,02-02
3437,300423,鲁亿通,0.65,30.0,3.26,22.14,-0.13,4281.89,29.64,,02-02
3438,601198,东兴证券,0.52,55.39,3.71,15.43,4.63,104059.77,55.66,10派1.6,02-02
3439,300422,博世科,0.67,11.67,4.4,16.35,0.01,3126.23,11.63,,02-02
3440,300427,红相电力,0.85,6.25,4.85,18.82,0.25,5630.53,6.09,,02-02
3441,603828,柯利达,1.02,-5.56,,21.44,,9207.4,-5.02,,02-02
3442,002741,光华科技,0.75,11.94,,19.82,0.53,6783.83,12.9,,02-02
3443,603939,益丰药房,1.17,40.96,4.92,26.22,1.77,14056.12,41.71,,02-02
3444,300394,天孚通信,1.5,53.06,5.51,31.08,1.01,8867.53,53.14,,02-02
3445,300426,唐德影视,1.43,34.91,5.77,28.27,-1.15,8577.77,34.24,,02-02
3446,603015,弘讯科技,0.63,0.0,,17.91,,9384.82,-0.57,,02-02
3447,603898,好莱客,1.94,41.61,,43.25,,14264.74,41.86,,02-02
3448,603309,维力医疗,0.9,5.88,4.93,20.2,1.43,6782.0,6.66,,02-02
3449,002746,仙坛股份,0.37,-7.5,6.72,5.68,0.82,4434.09,-6.88,,02-02
3450,603222,济民制药,0.48,-29.35,,12.33,,5764.35,-29.05,,02-02
3451,000796,凯撒旅游,0.15,-22.75,,6.78,,3575.92,-22.72,,01-31
3452,002258,利尔化学,0.46,-9.8,,8.26,,9241.21,-11.22,,01-31
3453,300056,三维丝,0.39,-26.42,3.1,13.27,0.5,5865.25,18.4,10派1,01-31
3454,600463,空港股份,0.17,-43.33,,5.4,,4254.34,-43.57,10派1,01-31
3455,600282,南钢股份,0.08,-147.18,,3.47,,29192.72,-147.2,,01-31
3456,600381,青海春天,0.4,1845.85,,77.48,,7935.66,141.5,,01-31
3457,000613,*ST东海A,0.01,-215.0,,3.01,,250.35,-213.83,,01-31
3458,300011,鼎汉技术,0.39,56.84,3.48,15.12,0.28,17472.38,206.83,10派0.598337,01-31
3459,002019,亿帆医药,0.87,648.71,,34.35,,23790.92,829.0,,01-31
3460,600678,四川金顶,-0.11,-868.84,,-88.64,,-3701.68,-871.28,,01-31
3461,600136,当代明诚,0.01,0.0,,0.71,,95.41,-19.19,,01-31
